,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
33,2019-02-03,-714.1162679986444,-5786.726556622785,6196.1995952727875,-714.1162679986444,-714.1162679986444,959.4324254628887,959.4324254628887,959.4324254628887,-14.16128839649299,-14.16128839649299,-14.16128839649299,973.5937138593818,973.5937138593818,973.5937138593818,0.0,0.0,0.0,245.31615746424427
34,2019-02-04,-641.3804890064821,-5429.6928438628165,7210.444602738113,-641.3804890064821,-641.3804890064821,1291.57763735563,1291.57763735563,1291.57763735563,67.49986112365663,67.49986112365663,67.49986112365663,1224.0777762319733,1224.0777762319733,1224.0777762319733,0.0,0.0,0.0,650.1971483491479
35,2019-02-05,-568.6447100143195,-5115.3344755448425,7087.312222610969,-568.6447100143195,-568.6447100143195,1450.1967078366995,1450.1967078366995,1450.1967078366995,-42.32185393566183,-42.32185393566183,-42.32185393566183,1492.5185617723612,1492.5185617723612,1492.5185617723612,0.0,0.0,0.0,881.55199782238
36,2019-02-06,-495.90893102215756,-4695.931601399374,7697.832297122167,-495.90893102215756,-495.90893102215756,1838.819908183657,1838.819908183657,1838.819908183657,63.90583677472719,63.90583677472719,63.90583677472719,1774.9140714089297,1774.9140714089297,1774.9140714089297,0.0,0.0,0.0,1342.9109771614994
37,2019-02-07,-423.17315202999566,-4715.443876367931,7767.321971601634,-423.17315202999566,-423.17315202999566,2030.343944021261,2030.343944021261,2030.343944021261,-36.706218454772504,-36.706218454772504,-36.706218454772504,2067.0501624760336,2067.0501624760336,2067.0501624760336,0.0,0.0,0.0,1607.1707919912653
38,2019-02-08,-350.437373037833,-4198.091443772628,8652.938293719812,-350.437373037833,-350.437373037833,2355.901303039868,2355.901303039868,2355.901303039868,-8.705239736292722,-8.705239736292722,-8.705239736292722,2364.60654277616,2364.60654277616,2364.60654277616,0.0,0.0,0.0,2005.4639300020349
39,2019-02-09,-277.70159404567113,-3574.9303458687464,8722.445042629695,-277.70159404567113,-277.70159404567113,2633.7526418738544,2633.7526418738544,2633.7526418738544,-29.511097375644752,-29.511097375644752,-29.511097375644752,2663.2637392494994,2663.2637392494994,2663.2637392494994,0.0,0.0,0.0,2356.051047828183
40,2019-02-10,-204.96581505350852,-3572.3521627297355,9343.656831595985,-204.96581505350852,-204.96581505350852,2944.6469976866624,2944.6469976866624,2944.6469976866624,-14.161288396543883,-14.161288396543883,-14.161288396543883,2958.8082860832064,2958.8082860832064,2958.8082860832064,0.0,0.0,0.0,2739.681182633154
41,2019-02-11,-132.23003606134625,-2913.1099182890935,9720.41904966215,-132.23003606134625,-132.23003606134625,3314.7333156740474,3314.7333156740474,3314.7333156740474,67.49986112395554,67.49986112395554,67.49986112395554,3247.233454550092,3247.233454550092,3247.233454550092,0.0,0.0,0.0,3182.503279612701
42,2019-02-12,-59.49425706918364,-2756.768969619051,9133.828182856418,-59.49425706918364,-59.49425706918364,3482.5111400164237,3482.5111400164237,3482.5111400164237,-42.32185393559162,-42.32185393559162,-42.32185393559162,3524.832993952016,3524.832993952016,3524.832993952016,0.0,0.0,0.0,3423.01688294724
