,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
1721,2025-06-19,3096.751756264265,2905.328787165713,3313.0103131883025,2908.7617429996626,3287.0668583091424,6.721740557112229,6.721740557112229,6.721740557112229,7.682202333011295,7.682202333011295,7.682202333011295,-0.9604617758990665,-0.9604617758990665,-0.9604617758990665,0.0,0.0,0.0,3103.4734968213775
1722,2025-06-20,3098.661399201189,2909.796877864275,3327.7246229502134,2909.4767001608943,3290.822967465225,6.437578479648638,6.437578479648638,6.437578479648638,7.843374102550278,7.843374102550278,7.843374102550278,-1.4057956229016406,-1.4057956229016406,-1.4057956229016406,0.0,0.0,0.0,3105.0989776808374
1723,2025-06-21,3100.5710421381123,2881.0960809327817,3286.643405495524,2910.191657322125,3294.670587784361,-19.001915416145067,-19.001915416145067,-19.001915416145067,-17.18852078342256,-17.18852078342256,-17.18852078342256,-1.813394632722506,-1.813394632722506,-1.813394632722506,0.0,0.0,0.0,3081.569126721967
1724,2025-06-22,3102.4806850750365,2885.7379941969684,3288.4508917502944,2910.4266325871063,3298.340965807683,-19.380765920082762,-19.380765920082762,-19.380765920082762,-17.188509049344376,-17.188509049344376,-17.188509049344376,-2.1922568707383867,-2.1922568707383867,-2.1922568707383867,0.0,0.0,0.0,3083.0999191549536
1725,2025-06-23,3104.3903280119603,2921.2438808186707,3316.6039422490203,2909.715250171255,3301.442879517818,2.4292680423983417,2.4292680423983417,2.4292680423983417,4.979967202836533,4.979967202836533,4.979967202836533,-2.550699160438191,-2.550699160438191,-2.550699160438191,0.0,0.0,0.0,3106.8195960543585
1726,2025-06-24,3106.2999709488836,2918.5328593912673,3331.5829077329777,2910.0768727453865,3304.523553210422,4.071650940191947,4.071650940191947,4.071650940191947,6.967548617922186,6.967548617922186,6.967548617922186,-2.895897677730239,-2.895897677730239,-2.895897677730239,0.0,0.0,0.0,3110.3716218890754
1727,2025-06-25,3108.2096138858074,2900.763423251774,3324.0251597123756,2910.630634473479,3308.025571776169,3.6704607112542096,3.6704607112542096,3.6704607112542096,6.903937576466286,6.903937576466286,6.903937576466286,-3.233476865212077,-3.233476865212077,-3.233476865212077,0.0,0.0,0.0,3111.8800745970616
1728,2025-06-26,3110.119256822731,2904.59721904499,3328.97833456246,2911.310288050214,3311.5275903419156,4.115042042460791,4.115042042460791,4.115042042460791,7.682202332991104,7.682202332991104,7.682202332991104,-3.5671602905303135,-3.5671602905303135,-3.5671602905303135,0.0,0.0,0.0,3114.2342988651917
1729,2025-06-27,3112.028899759655,2907.2262911862013,3321.661617404865,2911.5401430079264,3315.0296089076624,3.9448791032677364,3.9448791032677364,3.9448791032677364,7.843374102521806,7.843374102521806,7.843374102521806,-3.8984949992540696,-3.8984949992540696,-3.8984949992540696,0.0,0.0,0.0,3115.9737788629227
1730,2025-06-28,3113.9385426965787,2883.6944566439242,3316.2343279113497,2912.0062792934154,3318.531627473409,-21.41517928545874,-21.41517928545874,-21.41517928545874,-17.18852078344948,-17.18852078344948,-17.18852078344948,-4.226658502009262,-4.226658502009262,-4.226658502009262,0.0,0.0,0.0,3092.52336341112
